segment_id	char_range	frame_range	speaker_id	document_id
15d508e2-a94f-4696-af13-d9502613341b	[4793, 4892)	[15794, 15915)	T1_GP1	BE_2019_001_T_ELAN
d72d9c3d-8985-4843-a504-2300c5467900	[4892, 4899)	[15916, 15966)	T1_GP1	BE_2019_001_T_ELAN
1cb15277-1d07-422f-a895-cbd5ea220405	[4899, 4994)	[16196, 16305)	T1_GP1	BE_2019_001_T_ELAN
4b9ae040-5858-4747-b6cd-af4e946c6d8c	[4994, 5004)	[16322, 16378)	T1_GP1	BE_2019_001_T_ELAN
3d67177c-9f21-41de-8632-31b9d6fbb7b0	[5004, 5020)	[16442, 16460)	T1_GP1	BE_2019_001_T_ELAN
b2ed2fd1-abdc-42d5-9b19-aa19b0bfc4bb	[5020, 5027)	[16484, 16532)	T1_GP1	BE_2019_001_T_ELAN
26c97b5a-c6a9-47a9-83ac-330c713968cf	[5027, 5141)	[16565, 16698)	T1_GP1	BE_2019_001_T_ELAN
2ca95b46-912f-4c52-9b73-fa83f3b98c41	[5141, 5239)	[16698, 16884)	T1_GP1	BE_2019_001_T_ELAN
b5d94f09-2938-4d91-8aa5-fd841580918e	[5239, 5246)	[16911, 16922)	T1_GP1	BE_2019_001_T_ELAN
46569a18-7a74-48c8-aa2d-93d66b7ef91b	[5246, 5307)	[16954, 17053)	T1_GP1	BE_2019_001_T_ELAN
bda628aa-1a23-4bb8-a21d-8a73f131c413	[5307, 5380)	[17054, 17136)	T1_GP1	BE_2019_001_T_ELAN
92df5a76-58da-4e79-875b-ff8165dda796	[5380, 5450)	[17136, 17265)	T1_GP1	BE_2019_001_T_ELAN
2e7bd7e2-fb53-4524-90ac-6656c5b202ea	[5450, 5568)	[17268, 17496)	T1_GP1	BE_2019_001_T_ELAN
9d7e0df1-e4d2-4b07-86b8-ba37362029b3	[5568, 5609)	[17499, 17640)	T1_GP1	BE_2019_001_T_ELAN
4238767d-e057-46f9-9a28-7b59d4868b14	[5609, 5714)	[17646, 17823)	T1_GP1	BE_2019_001_T_ELAN
5d398e76-bffe-46dc-abff-8097256bfcbb	[5714, 5815)	[17883, 18138)	T1_GP1	BE_2019_001_T_ELAN
71f4cbf8-bd7c-4b31-9d3d-992ef17ed355	[5815, 6055)	[18151, 18438)	T1_GP1	BE_2019_001_T_ELAN
5f6213df-a8d5-4b06-8c7c-f7ca648d5436	[6055, 6094)	[18816, 18912)	T1_GP1	BE_2019_001_T_ELAN
bff35bc8-525c-4fe6-b97b-6843010c4468	[6094, 6221)	[18970, 19260)	T1_GP1	BE_2019_001_T_ELAN
9752eaa3-aa4e-49e4-94f1-8b5406bb48a4	[6221, 6388)	[19268, 19461)	T1_GP1	BE_2019_001_T_ELAN
4bf93c10-4a62-4c0b-8f72-8c4f957abc93	[6388, 6557)	[19550, 19748)	T1_GP1	BE_2019_001_T_ELAN
ccd40643-8fea-495c-bec0-9dcb6ad0932d	[6557, 6618)	[19750, 19892)	T1_GP1	BE_2019_001_T_ELAN
bc00ffe7-c7e6-4fb3-950c-a3ef1602300d	[6618, 6800)	[19907, 20113)	T1_GP1	BE_2019_001_T_ELAN
1b9d7d20-c286-4c5a-a7b3-64e269881f90	[6800, 6808)	[20211, 20227)	T1_GP1	BE_2019_001_T_ELAN
254670e6-5c2b-4b51-8931-3af7cc96dff7	[6808, 6939)	[20284, 20448)	T1_GP1	BE_2019_001_T_ELAN
fecbdf9c-b152-45ed-8a86-6298e518b7b2	[6939, 6951)	[20550, 20571)	T1_GP1	BE_2019_001_T_ELAN
6b51114e-d2fe-4dec-a9b6-d31d91f67727	[6951, 7024)	[20571, 20757)	T1_GP1	BE_2019_001_T_ELAN
27ecea2e-0619-42c5-aa34-838786e78c2f	[7024, 7059)	[20848, 20946)	T1_GP1	BE_2019_001_T_ELAN
5be64a35-3248-4c8d-8904-104c92d98864	[7059, 7129)	[20974, 21038)	T1_GP1	BE_2019_001_T_ELAN
a7e2f23f-bd0d-4768-a07c-53713846c25f	[7129, 7132)	[21199, 21219)	T1_GP1	BE_2019_001_T_ELAN
0f389176-4297-4003-88c4-181a9216645d	[7132, 7153)	[21283, 21316)	T1_GP1	BE_2019_001_T_ELAN
