sentence_id,char_range,frame_range,speaker_id,original_id
f61bf72e-8050-42e6-bd7a-10ad7626bf89,"[10706,10717)","[38920,38956)",1,194
1f1a0121-40c6-400d-9dab-dd2280d157c8,"[10717,10815)","[38995,39258)",1,195
b7561246-a5f2-419a-bf40-75c1704d179b,"[10815,10858)","[39258,39378)",1,196
a54364b7-56e5-4173-a489-58a4c58c8763,"[10858,10879)","[39378,39413)",1,197
d733918b-6c9e-4ff1-95aa-379a1e2a12bb,"[10879,10978)","[39448,39636)",1,198
bced0eb8-c151-433a-a6ce-626623009309,"[10978,11035)","[39636,39722)",1,199
d0e55072-8c84-43d9-9674-346fe75c7fc6,"[11035,11109)","[39723,39855)",1,200
6103bc1b-9530-433b-a5f7-f9edb19a2b43,"[11109,11257)","[39855,40007)",1,201
a962d9af-f1ff-4c97-9248-0b0058cfa469,"[11257,11290)","[40006,40072)",1,202
08d04e72-0c6f-4e5c-bbf5-b0987af3a66a,"[11290,11314)","[40075,40133)",1,203
41f6e7f1-4713-42f7-89c0-63d64c90229b,"[11314,11349)","[40150,40206)",1,204
e42c7b71-4171-4303-bfc7-013078cab3ab,"[11349,11470)","[40207,40366)",1,205
47fd042b-b519-4d5d-b289-99e0eff482d4,"[11470,11477)","[40365,40410)",1,206
993db6c1-8f56-41c5-862c-d1e1cb98d742,"[11477,11544)","[40411,40526)",1,207
6f470b58-a69b-429d-845d-ef5df8c9c802,"[11544,11683)","[40526,40709)",1,208
afd51f52-1421-42eb-95f6-7916db9402d6,"[11683,11697)","[40711,40758)",1,209
4d650da0-2930-4a23-b087-3bcfa9d1a995,"[11697,11779)","[40758,40897)",1,210
337308d7-3bb6-4a96-9a31-d6ba7a5f6bda,"[11779,11794)","[40990,41142)",1,211
56c8f808-90cd-4361-9131-482bcd795066,"[11794,11821)","[41143,41348)",1,212
114c97cc-a049-42ee-8076-8081dac80fcc,"[11821,11860)","[41347,41406)",1,213
39dfa2fa-6fe8-4e82-84e7-088eb23ec636,"[11860,11878)","[41406,41478)",1,214
064897e6-c293-4710-ae24-26b058da7cd7,"[11878,11921)","[41478,41576)",1,215
10d7d58a-82dc-4176-baee-aab315174fd0,"[11921,11985)","[41576,41712)",1,216
d6bea532-a886-48e9-8413-601ecb702f70,"[11985,12029)","[41713,41792)",1,217
3ea963dd-e8fd-4f0b-90eb-e18c49b8a1c3,"[12029,12062)","[41793,41856)",1,218
3df96df1-6fbb-440e-af98-2f24a6df3a1f,"[12062,12108)","[41865,41927)",1,219
1cedc0f0-06b0-42f7-8645-dd5ad7fd901e,"[12108,12149)","[41928,42011)",1,220
c69e09d8-bc78-4696-b7b3-2f3ba07c82e2,"[12149,12180)","[42011,42094)",1,221
bf6be3a4-22c4-43f9-92b3-946e0264454e,"[12180,12260)","[42093,42197)",1,222
26e44d68-15f3-423f-b8ba-446795cc4df4,"[12260,12292)","[42210,42369)",1,223
6323c691-14ad-4ac9-be50-747f85225b1f,"[12292,12304)","[42420,42449)",1,224
6e977bef-df9b-46f9-9d1f-de5964376117,"[12304,12307)","[42586,42602)",1,70
ee70054b-6be3-4ab6-ade5-e22e365de2c7,"[12307,12384)","[42825,42951)",1,225
6f13817a-a2db-4d0b-b20f-d319a2921836,"[12384,12410)","[42951,42998)",1,226
47d857a8-7b7e-441c-b06c-c40762c02a50,"[12410,12545)","[42997,43159)",1,227
22476a30-7c60-4143-8c68-c815e3af642e,"[12545,12561)","[43536,43582)",1,228
2d26d92f-b920-444b-8059-16d3dd23e7cc,"[12561,12577)","[43611,43691)",1,229
26d0d27e-dd08-4835-9554-37e1a30c9d6e,"[12577,12762)","[43715,43959)",1,230
05b57ad9-ef5d-405e-90d6-13bc7154e09c,"[12762,12783)","[43959,43988)",1,231
52906b9d-7931-4c45-8838-2ed544720866,"[12783,12838)","[43988,44146)",1,232
5b9212d9-addc-4089-b474-5ee1ce1f80b5,"[12838,12950)","[44146,44276)",1,233
aa3443d6-015b-4cf7-87de-3fce792a9a17,"[12950,12978)","[44279,44327)",1,234
3514b0bc-f03a-4666-abe9-edfe3e585ba5,"[12978,13092)","[44330,44438)",1,235
